name,price,change_24h,market_cap,timestamp
Bitcoin BTC,"$86,162.74",3.09%,"$1,719,171,649,480",2025-11-23 11:58:46.723874
Ethereum ETH,"$2,809.89",3.79%,"$339,142,026,119",2025-11-23 11:58:46.723874
Tether USDT,$0.9995,0.01%,"$184,418,591,452",2025-11-23 11:58:46.723874
XRP XRP,$2.03,7.06%,"$122,699,069,633",2025-11-23 11:58:46.723874
BNB BNB,$841.83,2.85%,"$115,951,238,610",2025-11-23 11:58:46.723874
USDC USDC,$0.9997,0.02%,"$73,979,338,418",2025-11-23 11:58:46.723874
Solana SOL,$129.77,3.11%,"$72,559,556,217",2025-11-23 11:58:46.723874
TRON TRX,$0.2748,0.32%,"$26,019,552,457",2025-11-23 11:58:46.723874
Dogecoin DOGE,$0.1434,5.06%,"$21,781,867,546",2025-11-23 11:58:46.723874
Cardano ADA,$0.4096,3.00%,"$14,703,485,601",2025-11-23 11:58:46.723874
Bitcoin Cash BCH,$552.08,2.66%,"$11,018,155,647",2025-11-23 11:58:46.723874
Hyperliquid HYPE,$31.50,3.91%,"$10,606,908,170",2025-11-23 11:58:46.723874
Zcash ZEC,$573.40,13.03%,"$9,360,785,865",2025-11-23 11:58:46.723874
UNUS SED LEO LEO,$9.48,0.60%,"$8,748,407,659",2025-11-23 11:58:46.723874
Bitcoin BTC,"$86,138.77",3.06%,"$1,720,046,177,825",2025-11-23 12:00:19.140960
Ethereum ETH,"$2,808.25",3.73%,"$339,305,014,487",2025-11-23 12:00:19.140960
Tether USDT,$0.9996,0.02%,"$184,395,007,606",2025-11-23 12:00:19.140960
XRP XRP,$2.03,7.23%,"$122,861,733,055",2025-11-23 12:00:19.140960
BNB BNB,$842.30,2.90%,"$116,016,429,688",2025-11-23 12:00:19.140960
USDC USDC,$0.9999,0.01%,"$73,987,049,906",2025-11-23 12:00:19.140960
Solana SOL,$129.97,3.31%,"$72,674,747,167",2025-11-23 12:00:19.140960
TRON TRX,$0.2747,0.31%,"$26,013,712,265",2025-11-23 12:00:19.140960
